realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,is_weekend,city
241.03990835340048,Entire home/apt,False,False,4.0,False,0,1,9.0,93.0,2,3.0698438993359667,1.3320625013185037,294.21260262322403,6.519809368035874,718.0337351233381,15.633615785831918,12.482,41.924,False,rome
207.60760292708017,Private room,False,True,3.0,True,1,0,10.0,97.0,1,1.465808531084411,0.5553218749060754,730.324015502469,16.18412439004988,1221.402949253963,26.59338063696748,12.49705,41.88826,False,rome
195.91798564515,Private room,False,True,2.0,True,0,0,10.0,94.0,1,0.2576048487227079,0.1822768444071803,588.5859919351063,13.043181800840632,1465.6363810320238,31.911030000360583,12.49926,41.90024,False,rome
342.27199401491595,Entire home/apt,False,False,4.0,False,0,1,10.0,97.0,1,2.510369549707324,0.8705041338050102,670.8977859620076,14.867227409395635,1603.6885495876618,34.91681434728827,12.47256,41.90521,False,rome
155.4719098496715,Private room,False,True,2.0,True,0,0,10.0,97.0,1,0.3353123318515673,0.3948572732725814,609.4044144492284,13.50452215446622,1320.0006387512178,28.74012990454341,12.501,41.898,False,rome
165.9925654034087,Private room,False,True,2.0,False,0,1,9.0,87.0,1,4.136621416595046,1.3392874997833422,298.03316095037087,6.604473694955814,849.4653417793872,18.49525186233508,12.46616,41.87519,False,rome
71.54045776541275,Private room,False,True,2.0,False,1,0,9.0,91.0,1,3.827199575201301,0.9999852971826272,172.95999679480377,3.8328276808805968,498.6499855459078,10.857013959513026,12.53737,41.87855,False,rome
138.40506861805343,Entire home/apt,False,False,4.0,False,0,1,9.0,92.0,0,4.057044283776658,1.277604793577084,434.9395608518448,9.638346549698158,935.4852693248812,20.368147843942893,12.454,41.895,False,rome
109.41481775886656,Private room,False,True,2.0,False,0,0,10.0,100.0,1,4.931444876353496,2.6546245999896905,258.6391716717152,5.731495113979794,678.2907796624637,14.768299763093772,12.4506,41.87893,False,rome
214.38758095059967,Entire home/apt,False,False,4.0,True,0,1,10.0,98.0,0,2.462585019990729,1.0301978322848304,911.469674667442,20.198347965357726,2043.4050427970649,44.490680272053424,12.47258,41.90132,False,rome
136.06714516166738,Entire home/apt,False,False,4.0,False,1,0,9.0,83.0,0,1.145458616598139,1.050888273919499,304.7452508307594,6.753214932044487,833.7223419244264,18.1524824365969,12.515999999999998,41.9,False,rome
216.7255044069857,Entire home/apt,False,False,2.0,True,0,0,10.0,96.0,1,3.480135097081506,0.1882956668434225,206.7504604694594,4.581631028024861,579.5177295257765,12.617732400731008,12.52218,41.87331,False,rome
216.7255044069857,Entire home/apt,False,False,5.0,True,1,0,10.0,99.0,2,4.385020635592996,1.0540100897278917,385.26801448614185,8.537615274312692,833.4770424969311,18.147141577505803,12.45,41.895,False,rome
147.28917775232037,Entire home/apt,False,False,4.0,False,0,1,9.0,86.0,1,4.234574684204516,2.36163318722894,214.51593792128955,4.75371554169388,541.9023724330766,11.79874018397517,12.477,41.934,False,rome
115.49341874547028,Private room,False,True,3.0,False,1,0,9.0,75.0,1,2.4565270228928253,0.3149464941240584,208.44474491608315,4.6191767059078765,583.3528026390345,12.701232738710186,12.527,41.913,False,rome
148.691931826152,Private room,False,True,2.0,True,1,0,10.0,97.0,1,4.813528329881058,0.3366802768224404,366.6986733690092,8.12611500853795,773.4324148236517,16.839800998464437,12.44455,41.90531,False,rome
160.14775676244358,Private room,False,True,4.0,False,0,0,9.0,89.0,1,3.9933076308005537,0.1944881632961206,498.1917960641834,11.040028571507175,1229.1734623587893,26.7625665824144,12.45554,41.90952,False,rome
343.44095574310893,Private room,False,True,4.0,False,0,0,10.0,100.0,1,1.3524134843836912,0.1980014393012018,790.5842103384515,17.51950220632393,1703.7199396049,37.09477931126531,12.4868,41.90475,False,rome
195.91798564515,Private room,False,True,2.0,False,0,0,10.0,97.0,1,0.8979719400157169,0.2602642117559838,669.988543046106,14.847078406844217,1457.3698941804691,31.731045310207215,12.49191,41.90326,False,rome
178.8511444135319,Entire home/apt,False,False,3.0,False,0,1,10.0,95.0,0,2.020502778359465,0.3728986219295602,799.0163669179612,17.70636046110181,1801.0654088701892,39.2142642192044,12.47866,41.90538,False,rome
343.44095574310893,Entire home/apt,False,False,4.0,True,0,1,10.0,98.0,1,2.2015316919510544,1.1008166440201668,1499.894088476657,33.23794916302412,2191.9659222418427,47.72526883862823,12.476,41.898,False,rome
167.1615271316017,Private room,False,True,2.0,True,0,0,10.0,96.0,1,2.600821050766286,0.695559239052462,600.0466322651696,13.29715185352164,1461.7563340071067,31.82655045371631,12.472,41.907,False,rome
195.91798564515,Entire home/apt,False,False,2.0,True,0,0,10.0,98.0,1,1.1154638786787583,0.8342524212402914,331.6998827213802,7.350534897081755,974.085005822285,21.208572771514174,12.514,41.896,False,rome
178.61735206789328,Entire home/apt,False,False,4.0,False,1,0,8.0,86.0,1,4.792843752981307,0.3422911328626788,341.8649107105652,7.5757939244630785,760.1580173847818,16.550779996809027,12.4459,41.910340000000005,False,rome
138.40506861805343,Entire home/apt,False,False,2.0,False,0,1,10.0,87.0,1,0.7314015578597565,0.6418754497500311,373.1944738624048,8.270063230103323,949.9756760439312,20.683644790875555,12.51021,41.89805,False,rome
121.10443504079676,Private room,False,True,2.0,False,1,0,9.0,91.0,1,3.884907155926788,0.64081593053436,292.5108718658184,6.482098678435616,861.3099593767182,18.753142531796406,12.47724,41.87131,False,rome
